id,ticketCode,participantId,orderId,checkedIn,checkedInAt,qrHash,qrUrl,checkedInBy
b5bf3215-6e5d-48e0-aab0-56ea4424bf53,4B401A,8ff9db1b-4243-4477-8b5a-d219f37a1003,4b1b7403-1448-46cc-bbf2-8655b21e2d3c,f,2025-12-20 07:24:02.067,9cf92f9b4e07c56a609ab921453cc5937fa70748fde6f80776d099f8ca44cc6f,https://www.ethmumbai.in/t/4B401A,
084996e2-7430-40de-88eb-2ae6f9410b1b,427480,a710c9be-fc97-426d-983f-99ba67f7c950,f3835bb0-6142-4949-a402-32525865cb5a,f,2025-12-20 07:24:06.78,f353c57c7c572f67af9c44b6ac137c39e8beade21aa86b073a10491db0226e44,https://www.ethmumbai.in/t/427480,
9eb0e24e-3d55-4a22-8c02-22670d9646cb,F440D1,6516f59b-4ef6-430e-8916-ed94ce54e612,57ba4d49-0b6c-4e71-a598-92252ce30245,f,2025-12-20 07:30:30.335,83639af90b84c1903492061c0bf6a69553b6399316ba1d98ff9dd276a3ffbf79,https://www.ethmumbai.in/t/F440D1,
e890854b-63b2-49cb-af4c-0fdf1f2d5118,E03E59,5bf9afe4-d2c0-4454-9d38-d8488c85a7f4,5062dc5a-45e7-4b2f-85ec-9be71e1b7f74,f,2025-12-20 07:32:09.308,7bd93e79a7761edc9e686e80cb96ead56175c0ef95b45b1df773ca0ca2972d70,https://www.ethmumbai.in/t/E03E59,
f6295c2a-42cd-4367-858d-0093b1ff565f,BB61BF,dda5732a-4329-4798-9077-f9b71a6683ef,f5e9291f-8cc3-42c7-b5d3-dc72594e9797,f,2025-12-20 07:32:32.329,149fabb3464c72d1bd9ccfb2804cdf3412e284e5c205b6ac50a0b5577fdfb8b5,https://www.ethmumbai.in/t/BB61BF,
d6e9d47b-d2f7-4098-835c-ad7d8e8171d1,65A75C,e762f0f3-7b04-43b3-990c-8d8b0b448daa,1c267d21-44d7-4ef5-87a3-0dfc1ecb711c,f,2025-12-20 07:38:41.301,9aa161e96a1581624d6c747e28cb1331c62e5652e54d08389d60c4956487c5d3,https://www.ethmumbai.in/t/65A75C,
5f9a90e8-8806-41b7-81b3-624aacdb48dd,E11DAD,001a278c-66db-4879-815d-5be1edc87dfc,932977e0-1a02-4df1-b414-0cacaa709aee,f,2025-12-20 07:38:42.058,8146e1dfdda0de0b008f2e716b4954bfc05ecf2e06d7e4c38338a900c6fc9e8b,https://www.ethmumbai.in/t/E11DAD,
cda464bd-5eb5-4529-ba00-3b3ca3cb292f,741D05,708ae1e4-d904-449c-af64-7f3b22e7ed2d,79a7c232-7f84-40e6-9e27-4a5bcb27f6e4,f,2025-12-20 07:43:22.291,ccfb1aab3d2f80c1fe0a78c56ea735a600c7724325bc613f81e99898bc1be52d,https://www.ethmumbai.in/t/741D05,
b66d974a-302e-44ec-8291-efef3da47969,6CF146,82e73190-eece-4469-a8ba-61db3a167c9d,7d902198-2998-41d7-8eda-e6116b22c6b7,f,2025-12-20 07:48:18.473,c949a81bff1fd3944f0cab049a6d332b5c3810d26a173ca2670ec17a8b6e3c31,https://www.ethmumbai.in/t/6CF146,
17cae10d-bd05-4b18-b68e-2395a72e8d0d,E91CDE,79011c33-39a9-41d7-a000-c3a362e5a31f,4fbddee0-a516-496d-ab92-6641c313b9b6,f,2025-12-20 07:49:43.327,9f8bccb3a4721cfc61d90d1c861c4b1600db30dc9cc4fa8973ba98d5e5da75c9,https://www.ethmumbai.in/t/E91CDE,
3f595b22-9b68-4da4-85a2-187fd728655a,B7008D,d82acc89-8c60-4c54-bd58-9d5f8d5e27aa,2b79c83c-036e-42e5-9123-78823a028f53,f,2025-12-20 07:49:52.133,a429cabc4f9518e424ac8f462b9887c532ec680e817c9613ab2a1e3970ff9b5b,https://www.ethmumbai.in/t/B7008D,
f7f06e64-64b4-45f2-be67-e2da237be251,BA9C85,7f67eabc-2c67-4477-b94d-ef2a2b5201cc,c708a031-ca42-4ee7-aa83-5d3c561062dc,f,2025-12-20 07:54:21.821,11b3d81ccdc16b6b3170de42fac15af5969a25cbbb3f659aa58cb21b7712693e,https://www.ethmumbai.in/t/BA9C85,
efbbe1c0-1313-4a90-a17a-1353e76d87b5,753B8E,c0dac3d1-6991-47ff-835c-39da4a5f5398,53b17e9d-a5af-4eaa-a5a9-4751877b3edd,f,2025-12-20 07:55:37.769,257a29879954fb8f996c95779fd7e4aac426b526bc7082b8b7dfb8b32d00a570,https://www.ethmumbai.in/t/753B8E,
ce26094c-146d-4eb8-b390-a3657af1fbe9,E99F08,a5863d39-5470-4a97-90db-0c87dc079133,8fadb2c9-93e4-47e4-904e-e182fa09274f,f,2025-12-20 07:56:05.531,d7860a80fb1e54ab5e0ac1a1bad4580a1d694535aa0377ee4cf4b54e1402f801,https://www.ethmumbai.in/t/E99F08,
95acadb9-741f-4ffe-a47c-c0fd067c43b9,951888,14384577-dd25-43b0-8540-422692f75d34,12faa944-31da-4a64-b8f2-82c51f2c2274,f,2025-12-20 07:56:14.111,e68e6d361b19ba81fbe2b125fb19100a279f5fb197856facd2a6aa4a4f0a81c3,https://www.ethmumbai.in/t/951888,
